index,success,ik_time_ms,pos_err_m,rot_err_rad,failure_reason
0,1,3.065918,1.3898947722636234e-09,0.0,
1,1,1.047389,3.266672627092593e-10,0.0,
2,1,1.104816,4.998029106276437e-09,2.9802322387695312e-08,
3,1,1.057642,9.565246407668472e-06,9.830882288047396e-06,
4,1,1.058863,1.1562238262125665e-09,0.0,
5,1,0.899113,1.9681058309386594e-07,1.2990531157078367e-07,
6,1,1.059085,3.050966273728553e-08,5.960464477539063e-08,
7,1,1.246687,2.5763435022943314e-08,1.6593230851978133e-07,
8,1,1.016206,7.173599539283433e-11,0.0,
9,1,1.448824,2.3877011455794098e-11,0.0,
10,1,1.105166,4.050295093181764e-08,2.497000702101561e-06,
11,1,1.095317,3.0068065890635675e-08,1.0745380149674385e-07,
12,1,0.859307,2.0261539764676576e-06,3.231456897502525e-06,
13,1,0.741861,2.203994071970481e-08,0.0,
14,1,0.899988,1.446549142712311e-09,0.0,
15,1,0.783084,4.212633887163096e-09,2.9802322387695312e-08,
16,1,0.908326,1.41997661830741e-07,9.200184965391915e-07,
17,1,0.902528,3.2968783889102305e-07,1.012402042833758e-06,
18,1,0.915977,6.37210531589301e-07,1.5301105562441049e-06,
19,1,0.861904,3.1026821437049793e-08,0.0,
20,1,1.455841,1.0677979168376641e-07,3.2098083538618743e-07,
21,1,0.786939,1.6753262610591114e-08,7.300048299977715e-08,
22,1,1.186709,2.0656895625690184e-07,4.85146659496419e-07,
23,1,0.764477,1.840186507163763e-07,9.587829078522663e-07,
24,1,1.078642,1.2002854398309044e-06,2.665434144596777e-06,
25,1,1.433577,2.645833600759741e-10,0.0,
26,1,0.946588,1.6450384849580235e-08,4.2146848510894035e-08,
27,1,0.708036,4.0001982736407245e-07,6.854534149169956e-07,
28,1,0.671868,4.653940525873824e-07,3.632828531368882e-06,
29,1,0.704804,2.0814743771719395e-08,2.858538343496754e-07,
30,1,0.943533,2.9145323569141608e-08,1.6049041769309358e-07,
31,1,0.697518,3.6380507909895646e-10,0.0,
32,1,0.728300,5.248029522686892e-10,0.0,
33,1,1.031751,2.0966690104330724e-09,0.0,
34,1,0.678714,1.175676047602977e-11,0.0,
35,1,0.773223,7.491852230414819e-07,1.3190684304434735e-06,
36,1,0.752075,6.064567154337296e-08,2.7476383618393225e-07,
37,1,0.770627,5.6776476017571655e-09,4.2146848510894035e-08,
38,1,0.732818,7.894173523873755e-10,0.0,
39,0,6.381270,nan,nan,ik_failed_-31
40,1,0.826913,4.9378658315078825e-08,2.715120786173435e-07,
41,1,0.708868,4.015426998150875e-08,9.424321830774485e-08,
42,1,1.296545,3.550000104808312e-08,0.0,
43,1,0.688564,5.1763361048750833e-08,1.3657139822709086e-07,
44,1,0.697666,4.934645113571446e-07,2.889442358861168e-07,
45,1,0.687529,6.429867816266607e-07,1.7151230060981035e-06,
46,1,0.683845,4.4707675670750364e-10,0.0,
47,1,0.745259,1.845801311298792e-06,7.916149847117862e-06,
48,1,0.649713,3.738971820272091e-12,0.0,
49,1,0.747091,1.3822424838865229e-09,0.0,
50,1,0.925375,1.4539776016766113e-08,0.0,
51,1,0.767584,4.2365024091219116e-09,0.0,
52,1,0.726579,5.547264131639889e-09,0.0,
53,1,0.769118,3.325622255342614e-08,5.16191365590357e-08,
54,1,0.771917,4.917557885869253e-11,2.9802322387695312e-08,
55,1,0.958030,1.6918106681641058e-09,0.0,
56,1,1.167861,2.5237218182771017e-07,9.884312124119402e-08,
57,1,0.773619,2.955848074128961e-06,2.0615367419149907e-06,
58,1,0.702803,1.273084632085118e-09,0.0,
59,1,0.670348,2.8586999303735876e-08,3.2098083538618743e-07,
60,1,0.678296,3.5923391714643547e-07,6.963802245585908e-07,
61,1,0.700007,5.734471678979665e-08,6.664001874625056e-08,
62,1,0.997347,6.781092549169758e-10,0.0,
63,1,0.752838,2.0642770197143978e-08,9.884312124119402e-08,
64,1,0.797461,1.4756414531661658e-10,0.0,
65,1,0.743544,5.549594668903804e-06,7.476998224533011e-06,
66,1,0.893362,5.8801112622257886e-08,2.3276357876976306e-07,
67,1,1.242578,3.0544985201772415e-06,7.372386207572872e-06,
68,1,0.726204,1.5170281455731268e-09,0.0,
69,1,1.014702,1.046674461771662e-09,0.0,
70,1,0.794796,3.7669564004543414e-09,0.0,
71,1,0.841797,9.116258976355789e-08,2.1283115233608642e-07,
72,1,1.094047,1.9046269613396945e-08,2.5809568279517867e-07,
73,1,1.137441,4.936765631161798e-10,0.0,
74,1,0.761375,3.3280123272177857e-07,5.575503985246947e-07,
75,1,0.697802,5.2296149539574015e-08,7.884953353001448e-08,
76,1,0.724324,4.388014930898611e-06,8.89113717392437e-06,
77,1,0.873050,3.483586216832149e-10,0.0,
78,1,0.741567,9.833621702396273e-07,7.848485594046888e-06,
79,1,0.738351,1.7891546118443345e-09,0.0,
80,1,0.813828,7.819517007702368e-08,2.043144285798385e-07,
81,1,0.811649,5.61769276780602e-07,8.678567277527542e-07,
82,1,0.902224,9.54324847221407e-11,0.0,
83,1,1.012876,4.369568939170103e-09,0.0,
84,1,0.844109,1.8367672844165773e-07,8.45041685030337e-07,
85,1,1.004790,5.9420908907866235e-08,3.1959430261741937e-07,
86,1,0.769782,4.6959707185333536e-08,9.424321830774485e-08,
87,1,0.840156,7.259277709533538e-10,0.0,
88,1,0.850196,3.563336931184339e-09,0.0,
89,1,0.856314,5.41048559849058e-07,3.404776752436029e-06,
90,1,0.716483,7.1009882035942674e-09,2.9802322387695312e-08,
91,1,0.752811,2.5169691800683417e-08,0.0,
92,1,0.722325,8.88887837740657e-07,3.3410516875369904e-06,
93,1,0.731170,3.8201597812591336e-10,0.0,
94,1,0.623342,1.1108144573166043e-08,4.2146848510894035e-08,
95,1,0.748355,4.227416429573354e-08,9.884312124119402e-08,
96,1,0.744668,2.8187467022004536e-08,5.960464477539063e-08,
97,1,0.959947,2.473676587296982e-11,0.0,
98,1,0.778738,9.917553807148915e-10,0.0,
99,1,0.732565,9.014605465335436e-09,0.0,
100,1,0.846104,5.311556467399727e-07,2.47413129574282e-06,
101,1,1.062547,4.918906732713755e-10,0.0,
102,1,0.796378,2.593766625782184e-08,0.0,
103,1,1.321437,9.29696013007223e-09,1.3978528260658475e-07,
104,1,0.894317,1.4397554159358088e-08,0.0,
105,1,0.761929,1.0521203196744622e-11,0.0,
106,1,0.886286,2.3282405725375523e-06,6.196590146242249e-06,
107,1,0.754859,2.2660184743059492e-07,8.78031245628378e-07,
108,1,0.766881,3.970685153608546e-08,2.715120786173435e-07,
109,1,0.766683,9.602379831339716e-08,3.9311963195422116e-07,
110,1,1.033062,1.0058474642349327e-07,2.3841857910156266e-07,
111,1,0.906152,1.6456314870781709e-10,0.0,
112,1,0.962317,1.0643913727760238e-06,7.136831778499275e-06,
113,1,1.611599,8.449410040108741e-06,6.523646001921696e-06,
114,1,1.057154,1.0675448004596621e-11,2.9802322387695312e-08,
115,1,0.809761,1.7133826549690644e-08,5.543552409928541e-07,
116,1,0.754178,2.1079237498030816e-09,0.0,
117,1,0.757757,1.4108844780961513e-08,2.9802322387695312e-08,
118,1,0.775467,1.4439850085251789e-08,2.9802322387695312e-08,
119,1,0.819740,5.402320539649356e-10,0.0,
120,1,0.660690,2.2427773324766677e-08,5.960464477539063e-08,
121,1,0.724093,2.5306055133996927e-09,0.0,
122,1,0.723330,9.333444312017385e-07,3.6488072724259596e-06,
123,1,0.758775,7.29938414717038e-07,7.84650494648872e-06,
124,1,0.770071,6.86808658607438e-06,5.198604904649961e-06,
125,1,0.820237,2.0781336582363945e-10,0.0,
126,1,0.776734,2.3381444793345727e-06,8.260513510091156e-06,
127,1,0.919091,1.06650728966161e-09,0.0,
128,1,0.884662,7.56116263297878e-07,1.1083098639123016e-06,
129,1,0.983626,1.1309129238748866e-10,0.0,
130,1,0.876103,1.322209785060743e-08,1.5196262340524156e-07,
131,1,0.905451,2.890551013934186e-10,0.0,
132,1,0.837203,3.653233652267228e-09,0.0,
133,1,0.891515,1.0356568349685137e-08,0.0,
134,1,0.717579,2.564762358837047e-06,4.222159289014074e-06,
135,1,0.681678,1.0390249153754833e-06,5.4328579259440155e-06,
136,1,0.742433,6.788839770155862e-09,0.0,
137,1,0.633845,5.706045163646519e-08,8.05214410192155e-07,
138,1,0.733717,5.627914259615988e-08,7.133906604996852e-07,
139,1,0.716741,6.8967773459615725e-09,0.0,
140,1,0.684332,8.664785037614508e-09,0.0,
141,1,0.675186,3.165270049833575e-08,1.3657139822709086e-07,
142,1,0.861169,2.546594132517672e-09,0.0,
143,1,0.794327,8.461008974031345e-10,0.0,
144,1,1.027987,1.3687259264466007e-10,0.0,
145,1,0.890331,1.080249357510683e-08,4.2146848510894035e-08,
146,1,1.179182,1.1392431092566906e-07,6.085806446272795e-07,
147,1,0.946659,3.322035866801839e-10,0.0,
148,1,0.993375,1.1695489941662318e-10,0.0,
149,1,0.784679,1.6902375852480506e-09,0.0,
150,1,0.788565,5.860288379856425e-06,7.229996729811716e-06,
151,1,0.754689,1.4991557786422668e-09,0.0,
152,1,0.787418,7.487248766646589e-06,8.966983457974429e-06,
153,1,0.931511,2.9908051648074806e-08,1.9082797281243954e-07,
154,1,0.725735,6.454554143687087e-11,0.0,
155,1,0.733387,7.021917695002741e-08,1.4292691717483762e-07,
156,1,0.716497,3.3235738374753416e-11,0.0,
157,1,5.097875,3.243100589977586e-07,3.7814907850174724e-07,
158,1,1.124350,4.699348954588136e-08,2.346637211445515e-07,
159,1,0.800564,1.271501265180182e-06,3.4566840006325077e-06,
160,1,1.144442,8.295894640137341e-07,8.534086384341992e-07,
161,1,0.865221,3.5272821165121404e-08,1.1151007970493858e-07,
162,1,0.774288,1.8562386614688373e-06,4.813605573075972e-06,
163,1,0.854012,2.8167494387297577e-09,0.0,
164,1,0.739181,1.1435166825091268e-09,0.0,
165,1,0.860733,4.1167904445355467e-10,0.0,
166,1,0.755159,4.3117664852549294e-10,0.0,
167,1,0.718011,1.1164290948624156e-06,1.9385259590089383e-06,
168,1,0.726327,7.845865855298744e-07,1.549720764160195e-06,
169,1,0.775483,1.5047622418821947e-10,0.0,
170,1,0.779360,8.368919776330457e-07,3.632828531368882e-06,
171,1,0.807901,1.3997160406060878e-07,3.462716948575456e-07,
172,1,0.752669,2.6648148236535407e-07,5.678105021493946e-07,
173,1,0.925429,9.615634448612669e-06,5.976313143688817e-06,
174,1,0.863929,7.9849599580077e-07,9.410174729732925e-07,
175,1,1.227543,2.1786052031739526e-08,5.960464477539063e-08,
176,1,0.779885,1.7377145784159934e-06,5.503352079576088e-07,
177,1,0.937625,2.984940998987967e-11,0.0,
178,1,0.850774,1.121578407183668e-06,6.07119464500649e-07,
179,1,3.479663,3.67655155234918e-08,1.3328003749250115e-07,
180,1,0.873922,1.3657847987253431e-08,0.0,
181,1,0.755968,3.369890370318198e-08,2.9802322387695312e-08,
182,1,0.710247,1.126356302981654e-09,0.0,
183,1,0.730926,1.994829802019128e-06,1.7269925110877598e-06,
184,1,0.784968,8.65828577517621e-08,2.632069845893339e-07,
185,1,1.032645,2.435455323664381e-11,0.0,
186,1,0.790682,4.276958662165066e-07,1.2485003510507198e-06,
187,1,0.876170,3.472436770424122e-06,9.239681255418278e-06,
188,1,1.006597,6.289442699959664e-11,0.0,
189,1,0.709245,7.471213230524488e-09,0.0,
190,1,0.829730,2.1423630122645374e-06,5.159159900757886e-06,
191,1,0.903823,5.313732994586968e-09,4.2146848510894035e-08,
192,1,0.659235,9.676903260369227e-08,7.177349673981881e-07,
193,1,0.722206,9.388463214092557e-07,2.2252178971571995e-06,
194,1,0.725197,2.1017673497784636e-11,0.0,
195,1,0.673323,4.5981743507648667e-10,0.0,
196,1,0.802171,2.974723766676881e-07,3.99840112477504e-07,
197,1,0.765515,1.517020253544402e-08,0.0,
198,1,1.609289,3.9671109335947634e-07,1.9082797281243954e-07,
199,1,0.673223,1.1957030720122154e-09,0.0,
200,1,1.791090,2.537945999307708e-07,6.426530674948667e-07,
201,1,0.565531,2.580187037598162e-06,2.656254763026098e-06,
202,1,0.829359,1.6903366333013046e-09,0.0,
203,1,0.556381,2.3042902039518984e-06,3.98761310158052e-06,
204,1,0.784877,2.135617171326965e-06,1.4703150252752646e-06,
205,1,0.556018,7.994794111831705e-12,0.0,
206,1,0.614295,8.052650792511615e-10,0.0,
207,1,0.738297,2.3056708765324848e-10,0.0,
208,1,0.704434,4.74360589354453e-08,1.3657139822709086e-07,
209,1,0.604097,1.0826015822159983e-10,0.0,
210,1,0.560696,2.3202641285841706e-06,4.9552578733141855e-06,
211,1,0.555161,9.61447190860347e-08,1.032382731180714e-07,
212,1,0.686528,8.108796395914604e-10,0.0,
213,1,1.265204,5.930071547929854e-07,2.917128286371446e-06,
214,1,0.564943,7.497491645497693e-10,0.0,
215,1,0.567240,1.8618551126924157e-06,7.461004118399206e-06,
216,1,0.622002,3.753355079397149e-09,0.0,
217,1,0.679041,5.384480926534368e-10,0.0,
218,1,0.587662,6.654838454168224e-09,0.0,
219,1,0.505610,4.4741882845469556e-08,6.151130032703392e-07,
220,1,0.757632,3.6553050293431973e-09,0.0,
221,1,0.554174,3.700175038085085e-11,0.0,
222,1,0.620199,3.8174125381080066e-07,1.176342627763202e-06,
223,1,0.612001,5.290509709309655e-07,1.6029660533500388e-06,
224,1,0.579045,1.7021058964603126e-09,0.0,
225,1,0.604996,9.584022089511668e-09,0.0,
226,1,0.822151,6.739566158952388e-08,1.632340423778195e-07,
227,1,0.617259,6.382808600435364e-10,0.0,
228,1,0.609033,4.769467263218058e-08,1.1151007970493858e-07,
229,1,0.599621,2.311046501635105e-09,0.0,
230,1,0.568279,4.003900855181091e-08,8.429369702178807e-08,
231,1,0.546825,3.6669761044835523e-09,0.0,
232,1,0.498585,3.776657341554983e-10,2.9802322387695312e-08,
233,1,0.594505,4.736938480916065e-10,2.9802322387695312e-08,
234,1,0.472149,3.5142109391525564e-08,7.300048299977715e-08,
235,1,0.403333,5.425580154998138e-11,0.0,
236,1,0.519090,3.3722598331762176e-09,0.0,
237,1,0.453282,1.1184408582309794e-08,5.16191365590357e-08,
238,1,0.554347,1.290547074291664e-06,3.0113620946574975e-06,
239,1,0.539047,2.8604215476744305e-07,3.744670998930303e-06,
240,1,0.671228,1.4790603424202017e-07,4.400260168383548e-07,
241,1,0.732765,1.1209187992793694e-10,0.0,
242,1,0.775689,8.527377900934942e-07,2.3931097864968692e-06,
243,1,0.897219,7.246486723888681e-08,1.5485740967710712e-07,
244,1,0.831148,8.923625471222518e-07,1.929570920019063e-06,
245,1,0.997776,1.5782069110160058e-07,2.043144285798385e-07,
246,1,0.923644,1.802332558786508e-06,4.952747883275565e-06,
247,1,4.621262,1.5379842593525636e-08,0.0,
248,1,0.824393,1.1083585523682552e-11,0.0,
249,1,0.755247,1.1572879432550429e-08,9.424321830774485e-08,
250,1,0.732347,1.9494112990082745e-08,4.2146848510894035e-08,
251,1,0.710805,1.1355893754059264e-07,5.77119491429244e-07,
252,1,0.770392,9.574672663083815e-08,2.326872503273992e-06,
253,1,0.721528,2.8157478086974653e-07,4.805480091749769e-07,
254,1,0.623493,5.183862666251318e-07,1.6515434983370071e-06,
255,1,0.772064,1.878560054224796e-06,2.006738885585443e-06,
256,1,0.779982,2.828328662893523e-08,4.2146848510894035e-08,
257,1,0.914598,4.89959888460926e-09,0.0,
258,1,0.865350,1.2136516617774606e-09,0.0,
259,1,0.808160,5.836565028269369e-09,0.0,
260,1,0.753776,4.432901337298654e-06,9.020459498502585e-06,
261,1,0.933208,1.055229911974676e-09,0.0,
262,1,0.785356,1.2323003632342324e-10,0.0,
263,1,0.915366,1.7012986780110668e-08,2.9802322387695312e-08,
264,1,0.714007,1.2359545221432352e-08,4.2146848510894035e-08,
265,1,0.734012,2.965557084623521e-10,0.0,
266,1,0.765707,1.0697471507809185e-09,0.0,
267,1,0.664250,4.491445173587725e-09,0.0,
268,1,0.720540,6.692710907595435e-07,3.264680847556393e-07,
269,1,0.666860,5.069457662407809e-08,2.5111883202720774e-07,
