index,success,ik_time_ms,pos_err_m,rot_err_rad,failure_reason
0,1,6.065961,3.8419868586239174e-10,0.0,
1,1,0.980716,4.75527133985068e-09,7.300048299977715e-08,
2,1,0.789640,8.05761054488683e-07,1.9036196974124808e-06,
3,1,0.729710,9.269684121180679e-06,9.930972757093046e-06,
4,1,0.929227,1.3288587546245975e-10,0.0,
5,1,0.819425,2.0855027409947945e-07,3.6256089987148215e-07,
6,1,1.222776,3.0348672712255813e-09,0.0,
7,1,0.756352,1.7765076679815201e-09,0.0,
8,1,0.751234,4.2344998631566874e-06,6.944324826624022e-06,
9,1,0.744322,1.7828163696498846e-11,0.0,
10,1,0.528352,5.718313939475093e-08,2.5940007146585545e-06,
11,1,0.647322,1.1869412316717674e-08,0.0,
12,1,0.620548,4.0536744971606704e-07,5.487189483500131e-07,
13,1,0.500319,4.379175862705606e-08,4.2146848510894035e-08,
14,1,0.517627,3.8973439796052297e-07,1.3780150439378167e-06,
15,1,0.598195,2.7225780287681334e-06,7.0365675128626425e-06,
16,1,0.573393,3.5446633814285104e-12,0.0,
17,1,0.632372,3.6845309807056246e-07,9.65705618025053e-07,
18,1,0.528953,7.246132452500685e-07,2.386047709137116e-06,
19,1,0.564294,4.418141778712798e-08,6.664001874625056e-08,
20,1,0.831670,5.601509787173702e-10,0.0,
21,1,0.741879,2.2682778515487436e-09,0.0,
22,1,0.714984,2.8984157886478662e-09,0.0,
23,1,0.740650,1.8079975913735182e-07,6.650660516149253e-07,
24,1,0.677076,4.954065787756667e-07,1.385727874942172e-06,
25,1,0.733073,3.758661500131019e-10,0.0,
26,1,0.679096,1.5230812295862904e-06,5.483789286089107e-06,
27,1,0.644888,3.1202276537823397e-07,4.969040155569645e-07,
28,1,0.687788,1.5808195624380215e-07,5.990192664337711e-07,
29,1,1.017121,5.475673945835274e-07,1.473935010299506e-06,
30,1,0.733820,6.188556688360362e-10,0.0,
31,1,0.652950,3.3369569620914935e-10,0.0,
32,1,0.714015,6.897848533437407e-10,0.0,
33,1,0.701194,2.9142887471234116e-08,7.884953353001448e-08,
34,1,0.571592,1.154598797680879e-06,3.806656133329082e-06,
35,1,0.844388,8.455506878721928e-08,1.8848643661548975e-07,
36,1,0.736941,6.8707086744514e-11,0.0,
37,1,0.636654,8.96987302864994e-09,1.032382731180714e-07,
38,1,0.505910,4.0409620941024005e-08,2.1490760299348777e-07,
39,0,6.096133,nan,nan,ik_failed_-31
40,1,0.729948,6.574407588642856e-10,0.0,
41,1,0.642279,7.123923818009236e-08,1.490116119384766e-07,
42,1,0.744141,2.35740102975782e-06,2.716592440777504e-06,
43,1,0.685506,6.10117123179259e-08,1.5485740967710712e-07,
44,1,0.655441,1.786124909792862e-07,1.2990531157078367e-07,
45,1,0.500715,4.274967920974688e-09,0.0,
46,1,0.517425,4.4312350213928956e-08,5.16191365590357e-08,
47,1,0.619359,3.1274028750459035e-07,4.823927300047483e-07,
48,1,0.511176,4.425985196935449e-07,8.826922662508167e-06,
49,1,0.693396,1.1661349675551223e-09,0.0,
50,1,0.683387,1.4116251675302051e-08,0.0,
51,1,0.689323,2.303957100467893e-07,3.9311963195422116e-07,
52,1,0.676918,1.120574149812207e-10,0.0,
53,1,0.674259,9.312155194912547e-11,0.0,
54,1,0.567013,9.399108118955264e-11,0.0,
55,1,0.460142,3.804847803431142e-11,0.0,
56,1,0.667142,5.5497663304247816e-08,1.264405455326821e-07,
57,1,0.501833,4.058482539265685e-06,8.083354613164515e-06,
58,1,0.562013,1.4271171242982086e-09,0.0,
59,1,0.626894,1.021996440032393e-08,2.9802322387695312e-08,
60,1,0.762916,3.321316788678534e-07,6.336060650786575e-07,
61,1,0.611315,6.852005861325197e-08,1.4600096599955432e-07,
62,1,0.491567,1.89219274291638e-10,0.0,
63,1,0.398299,4.216674085582438e-08,1.6858739404357617e-07,
64,1,0.470723,4.6380578773805e-06,7.137205118610179e-06,
65,1,0.656108,3.7799166357156844e-11,0.0,
66,1,0.678820,1.7806102679647138e-06,8.560169156168095e-06,
67,1,0.649955,2.4676643674238982e-11,0.0,
68,1,0.649312,1.7199480935672714e-10,0.0,
69,1,0.635551,5.547663889505498e-10,0.0,
70,1,0.412268,3.3174069294488063e-09,0.0,
71,1,0.507103,1.0904944375910106e-07,1.2990531157078367e-07,
72,1,0.628786,2.8578572531051598e-09,2.9802322387695312e-08,
73,1,0.682910,6.535118363911271e-08,2.0212918469683143e-07,
74,1,0.781061,3.332031048655186e-08,5.16191365590357e-08,
75,1,0.799978,6.942698055908979e-08,1.1920928955078128e-07,
76,1,0.805712,2.739520783070364e-09,0.0,
77,1,0.776961,2.738662548360229e-08,8.940696716308595e-08,
78,1,0.695165,1.2777793138689284e-06,1.3237734028406868e-06,
79,1,0.749463,9.109871830797714e-08,2.528810910653644e-07,
80,1,0.867958,1.4364848614463271e-08,0.0,
81,1,0.626504,5.31507655910801e-07,9.43374144515071e-07,
82,1,0.554684,3.9947439402490095e-11,0.0,
83,1,1.057091,3.036394997633796e-10,0.0,
84,1,0.703367,5.719735692942678e-07,2.132688839771234e-06,
85,1,1.787352,7.205327298540502e-10,0.0,
86,1,0.441468,3.337346382529413e-08,9.424321830774485e-08,
87,1,0.527936,7.72488442171335e-09,0.0,
88,1,2.788900,4.175496109984893e-06,5.46269334166795e-06,
89,1,0.664598,6.173372697226212e-07,3.6535508029418304e-06,
90,1,0.700896,1.0115269554050514e-08,0.0,
91,1,0.720410,1.9635987014514706e-10,0.0,
92,1,0.671883,5.985968605082609e-07,2.119110683754922e-06,
93,1,0.635136,3.2425304231529396e-07,1.4581835058600115e-06,
94,1,0.684161,3.583614637617422e-10,0.0,
95,1,0.709446,3.636552416620756e-08,7.300048299977715e-08,
96,1,0.679983,2.2454243376982934e-08,5.960464477539063e-08,
97,1,0.639531,2.6520770197151818e-11,0.0,
98,1,0.627868,6.956330849788619e-09,0.0,
99,1,0.561931,1.3028637682279734e-09,0.0,
100,1,0.530338,3.2156901579595523e-07,1.8395542337908158e-06,
101,1,0.908137,2.5980804028750584e-08,7.300048299977715e-08,
102,1,0.578697,1.3926086607335821e-08,0.0,
103,1,0.631183,1.8616368691166666e-06,4.628867701377453e-06,
104,1,0.712207,6.914810013215844e-09,0.0,
105,1,0.740115,2.833960050469371e-12,0.0,
106,1,0.680646,1.857237942929304e-06,5.423449522695595e-06,
107,1,0.677712,2.2218112681026023e-07,7.202056630608224e-07,
108,1,0.613398,3.8061430968896865e-08,2.4394252216435837e-07,
109,1,0.436511,3.4522982747826475e-08,1.6858739404357617e-07,
110,1,0.587210,7.939494610940521e-07,2.017333269211193e-06,
111,1,0.500958,1.822375422880651e-10,0.0,
112,1,0.572695,4.4915586191338017e-08,0.0,
113,1,0.753797,1.1832399552696739e-07,0.0,
114,1,0.808632,5.912549245637555e-07,2.915453219746752e-06,
115,1,0.760282,5.031052276006532e-09,4.2146848510894035e-08,
116,1,0.802060,1.6452712927055134e-09,0.0,
117,1,0.748964,2.3961406196330808e-08,5.16191365590357e-08,
118,1,0.776430,1.0404482184905109e-11,0.0,
119,1,0.734563,1.1525501267699802e-06,5.524694687764584e-06,
120,1,0.817365,2.583865314210264e-08,5.960464477539063e-08,
121,1,0.651493,2.5336671077955063e-09,0.0,
122,1,0.415489,2.5576411290554905e-07,7.737132898418456e-07,
123,1,0.572653,3.127989446393806e-07,6.248119257787183e-06,
124,1,0.667200,7.780324619726e-10,0.0,
125,1,0.743807,9.07190787153273e-10,0.0,
126,1,0.687876,2.7433336833567115e-11,0.0,
127,1,0.709506,6.272182217577753e-10,0.0,
128,1,0.677316,1.718278174677245e-09,0.0,
129,1,0.501133,4.812805730875491e-10,0.0,
130,1,0.434144,1.0203286746085687e-08,0.0,
131,1,0.466452,8.865143729376846e-09,2.9802322387695312e-08,
132,1,0.396392,4.382695885013153e-09,0.0,
133,1,0.575076,8.027252171411813e-09,0.0,
134,1,0.554877,2.9158072076013295e-06,6.1491804219687045e-06,
135,1,0.580705,6.897556887196213e-07,2.066485383911191e-06,
136,1,0.447253,7.4247422664940625e-09,4.2146848510894035e-08,
137,1,0.791390,6.882537990883446e-08,7.737132898418456e-07,
